k,home_adv,draw_prob,matches,accuracy,log_loss,brier
10.0,0.0,0.2,1520,0.5263157894736842,1.0182157839738073,0.6077156526475966
10.0,0.0,0.23,1520,0.5263157894736842,1.0154540334266506,0.6074041251541399
10.0,0.0,0.25,1520,0.5263157894736842,1.0165117226389206,0.6087225204042636
10.0,0.0,0.27,1520,0.5263157894736842,1.0195953952022396,0.6112617798509958
10.0,0.0,0.3,1520,0.5263157894736842,1.0276361402454175,0.6173597893897338
10.0,25.0,0.2,1520,0.5335526315789474,1.0113548014833385,0.6024994758715293
10.0,25.0,0.23,1520,0.5335526315789474,1.0085930509361818,0.6023327329003777
10.0,25.0,0.25,1520,0.5335526315789474,1.0096507401484534,0.6037498512565723
10.0,25.0,0.27,1520,0.5335526315789474,1.0127344127117692,0.6063895938823388
10.0,25.0,0.3,1520,0.5335526315789474,1.0207751577549484,0.6126416283264332
10.0,50.0,0.2,1520,0.530921052631579,1.008246011148524,0.6005492902084754
10.0,50.0,0.23,1520,0.530921052631579,1.0054842606013685,0.6003022804875715
10.0,50.0,0.25,1520,0.530921052631579,1.006541949813639,0.6016725283141549
10.0,50.0,0.27,1520,0.530921052631579,1.0096256223769582,0.6042707129198186
10.0,50.0,0.3,1520,0.530921052631579,1.0176663674201347,0.6104703712890955
10.0,65.0,0.2,1520,0.5098684210526315,1.008159130375503,0.6009026378077857
10.0,65.0,0.23,1520,0.5098684210526315,1.0053973798283482,0.6005035927152673
10.0,65.0,0.25,1520,0.5098684210526315,1.00645506904062,0.6017784916290269
10.0,65.0,0.27,1520,0.5098684210526315,1.0095387416039407,0.6042861337231362
10.0,65.0,0.3,1520,0.5098684210526315,1.0175794866471144,0.61035899032746
10.0,80.0,0.2,1520,0.5078947368421053,1.0093834075777561,0.6023454712901924
10.0,80.0,0.23,1520,0.5078947368421053,1.0066216570306001,0.6017208631959409
10.0,80.0,0.25,1520,0.5078947368421053,1.007679346242872,0.6028528091451767
10.0,80.0,0.27,1520,0.5078947368421053,1.0107630188061896,0.6052234361707288
10.0,80.0,0.3,1520,0.5078947368421053,1.0188037638493674,0.6111019037271631
10.0,100.0,0.2,1520,0.4967105263157895,1.0130133141177298,0.6058602171503443
10.0,100.0,0.23,1520,0.4967105263157895,1.0102515635705747,0.6048286383329357
10.0,100.0,0.25,1520,0.4967105263157895,1.0113092527828442,0.6057011824906879
10.0,100.0,0.27,1520,0.4967105263157895,1.014392925346164,0.6078219373439251
